No,Description,Neg,Pos,Rating
1,Life to me seems,completely routine,always exciting,1
2,Every day is,exactly the same,constantly new and different,1
3,Facing my daily tasks is,a painful and boring experience,a source of pleasure and satisfaction,1
4,My life interests and excites me,Strongly disagree,Strongly agree,1
5,My daily living is dull and routine,Strongly disagree,Strongly agree,-1
6,I find it satisfying to think about what I have accomplished in life,Strongly disagree,Strongly agree,1
7,So far I am pleased with what I have achieved in life,Strongly disagree,Strongly agree,1
8,I have been very successful in achieving certain things,Strongly disagree,Strongly agree,1
9,I have failed to accomplish much in life,Strongly disagree,Strongly agree,-1
10,I feel good when I think of the things I have accomplished in life,Strongly disagree,Strongly agree,1
11,I have a system or framework that allows me to truly understand my being alive,Strongly disagree,Strongly agree,1
12,I have a philosophy of life that really gives my living significance,Strongly disagree,Strongly agree,1
13,I have a personal value system that makes my living worthwhile,Strongly disagree,Strongly agree,1
14,The beliefs I hold about the world enable me to make sense out of my existence,Strongly disagree,Strongly agree,1
15,I hold certain values which I feel greatly enrich my life with significance,Strongly disagree,Strongly agree,1
16,In my life I have,no goals or aims at all,very clear goals and aims,1
17,I have discovered,no mission or purpose in life,clear-cut goals and a satisfying life purpose,1
18,I have a clear idea of what my future goals and aims are,Strongly disagree,Strongly agree,1
19,I tend to wander aimlessly through life without much sense of purpose or direction,Strongly disagree,Strongly agree,-1
20,My life is worthwhile,Strongly disagree,Strongly agree,1
21,My life is significant,Strongly disagree,Strongly agree,1
22,I really value my life,Strongly disagree,Strongly agree,1
23,I hold my own life in high regard,Strongly disagree,Strongly agree,1
